X,Y,SAMPLE_1
"631998","4211956",412.606719970703
"632058","4211853",430.942474365234
"632115","4211902",431.810882568359
"632207","4211948",411.77001953125
"632275","4211953",410.027130126953
"632353","4212059",392.381195068359
"632384","4212085",390.43310546875
"632427","4212105",391.521850585938
"632470","4212111",393.241943359375
"632622","4212162",404.841430664062
"632705","4212205",413.450042724609
"632642","4212337",388.848236083984
"632298","4212131",381.327789306641
"632230","4212142",383.215026855469
"632107","4212039",404.776916503906
