,UTM_X,UTM_Y,elevation,t,tt
0,630516.0155028162,4212866.8218333125,150.0,4259788.410744066,264.1037484286353
1,630516.9158911044,4212865.507040373,149.40634876549998,4259787.243705414,265.27078708074987
2,630517.8059037554,4212864.207398469,148.825395062,4259786.09011542,266.4243770753965
3,630518.6855407691,4212862.922907598,148.25713888949997,4259784.949974072,267.5645184228197
4,630519.5548021458,4212861.653567765,147.701580248,4259783.823281366,268.6912111286074
5,630520.413687885,4212860.399378966,147.1587191375,4259782.71003729,269.8044552048668
6,630521.2621979873,4212859.1603412,146.628555558,4259781.610241833,270.9042506618425
7,630522.100332452,4212857.936454472,146.1110895095,4259780.523894991,271.9905975041911
8,630522.9280912799,4212856.727718778,145.606320992,4259779.45099675,273.06349574495107
9,630523.7454744704,4212855.534134119,145.1142500055,4259778.391547103,274.122945391573
10,630524.5524820236,4212854.355700495,144.63487655,4259777.345546043,275.16894645243883
11,630525.3491139396,4212853.192417906,144.1682006255,4259776.312993558,276.20149893686175
12,630526.1353702183,4212852.044286353,143.714222232,4259775.293889644,277.22060285136104
13,630526.91125086,4212850.911305835,143.2729413695,4259774.28823429,278.2262582052499
14,630527.6767558643,4212849.793476351,142.844358038,4259773.296027487,279.2184650078416
15,630528.4318852314,4212848.690797903,142.4284722375,4259772.317269228,280.19722326658666
16,630529.1766389612,4212847.60327049,142.025283968,4259771.351959506,281.1625329889357
17,630529.911017054,4212846.530894112,141.6347932295,4259770.400098312,282.11439418327063
18,630530.6350195095,4212845.473668769,141.25700002200003,4259769.461685637,283.05280685797334
19,630531.3486463276,4212844.431594461,140.89190434550002,4259768.5367214745,283.9777710204944
20,630532.0518975087,4212843.404671188,140.5395062,4259767.625205818,284.8892866773531
21,630532.7447730524,4212842.392898951,140.1998055855,4259766.727138658,285.7873538369313
22,630533.427272959,4212841.396277749,139.872802502,4259765.842519989,286.6719725057483
23,630534.0993972283,4212840.41480758,139.5584969495,4259764.971349802,287.54314269311726
24,630534.7611458604,4212839.448488449,139.25688892800002,4259764.113628092,288.40086440276355
25,630535.4125188553,4212838.497320352,138.9679784375,4259763.269354851,289.24513764400035
26,630536.0535162129,4212837.56130329,138.69176547799998,4259762.43853007,290.0759624252096
27,630536.6841379332,4212836.640437263,138.4282500495,4259761.621153746,290.8933387491852
28,630537.3043840164,4212835.734722272,138.177432152,4259760.817225869,291.69726662617177
29,630537.9142544625,4212834.844158315,137.9393117855,4259760.026746434,292.4877460608259
30,630538.5137492712,4212833.968745393,137.71388894999998,4259759.249715434,293.26477706059813
31,630539.1028684428,4212833.108483506,137.5011636455,4259758.486132864,294.02835963107646
32,630539.681611977,4212832.263372655,137.30113587199997,4259757.735998715,294.7784937797114
33,630540.2499798741,4212831.433412839,137.1138056295,4259756.999312984,295.51517951115966
34,630540.8079721341,4212830.6186040575,136.93917291799997,4259756.276075662,296.23841683287174
35,630541.3555887567,4212829.818946311,136.77723773749997,4259755.566286746,296.94820574857295
36,630541.8928297422,4212829.0344396,136.628000088,4259754.869946228,297.6445462666452
37,630542.4196950904,4212828.265083925,136.4914599695,4259754.187054104,298.32743839081377
38,630542.9361848014,4212827.510879284,136.367617382,4259753.517610366,298.99688212852925
39,630543.4422988752,4212826.771825678,136.2564723255,4259752.861615011,299.65287748444825
40,630543.9380373117,4212826.047923108,136.1580248,4259752.219068033,300.29542446229607
41,630544.4234001109,4212825.339171573,136.0722748055,4259751.589969425,300.9245230695233
42,630544.8983872731,4212824.645571073,135.99922234200002,4259750.974319185,301.54017330985516
43,630545.362998798,4212823.967121607,135.93886740950003,4259750.372117304,302.1423751907423
44,630545.8172346856,4212823.303823177,135.89121000800003,4259749.783363781,302.7311287140474
45,630546.2610949359,4212822.655675783,135.8562501375,4259749.208058611,303.30643388442695
46,630546.6945795491,4212822.022679422,135.833987798,4259748.646201784,303.8682907111943
47,630547.1176885252,4212821.404834097,135.82442298950002,4259748.097793301,304.41669919434935
48,630547.5304218639,4212820.8021398075,135.827555712,4259747.562833155,304.9516593404114
49,630547.9327795655,4212820.214596553,135.8433859655,4259747.041321342,305.4731711531058
50,630548.3247616297,4212819.642204334,135.87191375,4259746.53325786,305.98123463522643
51,630548.7063680568,4212819.084963149,135.9131390655,4259746.0386427,306.4758497951552
52,630549.0775988466,4212818.542873001,135.967061912,4259745.557475863,306.95701663196087
53,630549.4384539992,4212818.015933886,136.0336822895,4259745.089757341,307.42473515402526
54,630549.7889335146,4212817.504145807,136.113000198,4259744.635487133,307.8790053622797
55,630550.1290373928,4212817.007508763,136.2050156375,4259744.194665235,308.31982726044953
56,630550.4587656338,4212816.526022755,136.309728608,4259743.767291641,308.74720085412264
57,630550.7781182374,4212816.059687781,136.4271391095,4259743.35336635,309.1611261451617
58,630551.087095204,4212815.608503843,136.557247142,4259742.952889358,309.56160313729197
