,UTM_X,UTM_Y,elevation,t,tt
0,630821.6474388796,4212420.522478977,400.0,4259392.281661735,660.2328307600692
1,630822.323403783,4212419.53540052,399.99946378457076,4259391.4055799665,661.1089125284925
2,630822.9929343332,4212418.557717834,399.997855138283,4259390.53783757,661.9766549253836
3,630823.6560305296,4212417.589430919,399.99517406113677,4259389.678434542,662.8360579526052
4,630824.312692373,4212416.630539776,399.991420553132,4259388.82737088,663.6871216148138
5,630824.9629198628,4212415.681044403,399.98659461426877,4259387.984646577,664.5298459175974
6,630825.6067129993,4212414.740944803,399.980696244547,4259387.15026163,665.3642308646813
7,630826.2440717825,4212413.810240973,399.97372544396677,4259386.324216034,666.1902764607221
8,630826.8749962123,4212412.8889329145,399.965682212528,4259385.5065097865,667.0079827085137
9,630827.4994862888,4212411.977020627,399.9565665502307,4259384.697142881,667.8173496136442
10,630828.1175420115,4212411.074504111,399.946378457075,4259383.896115314,668.61837718077
11,630828.729163381,4212410.181383366,399.9351179330607,4259383.103427083,669.411065411754
12,630829.3343503973,4212409.297658392,399.922784978188,4259382.319078183,670.1954143121839
13,630829.9331030601,4212408.423329191,399.90937959245673,4259381.54306861,670.9714238848537
14,630830.5254213696,4212407.55839576,399.894901775867,4259380.77539836,671.7390941353515
15,630831.1113053255,4212406.7028581,399.87935152841874,4259380.016067428,672.4984250674024
16,630831.690754928,4212405.856716212,399.862728850112,4259379.265075812,673.2494166828692
17,630832.2637701773,4212405.019970095,399.84503374094675,4259378.522423508,673.9920689873397
18,630832.8303510733,4212404.192619748,399.826266200923,4259377.7881105095,674.7263819854707
19,630833.3904976157,4212403.374665175,399.80642623004076,4259377.062136818,675.452355677262
20,630833.9442098046,4212402.566106371,399.7855138283,4259376.344502425,676.1699900701642
21,630834.4914876403,4212401.766943339,399.76352899570077,4259375.635207329,676.8792851660401
22,630835.0323311227,4212400.977176079,399.740471732243,4259374.934251525,677.5802409695461
23,630835.5667402516,4212400.19680459,399.7163420379268,4259374.241635012,678.2728574825451
24,630836.094715027,4212399.425828871,399.69113991275196,4259373.557357785,678.9571347096935
25,630836.6162554491,4212398.664248924,399.66486535671874,4259372.881419839,679.633072655648
26,630837.1313615178,4212397.912064749,399.63751836982703,4259372.213821174,680.3006713213399
27,630837.6400332331,4212397.169276345,399.60909895207675,4259371.554561783,680.9599307123572
28,630838.1422705951,4212396.43588371,399.579607103468,4259370.9036416635,681.6108508314937
29,630838.6380736036,4212395.711886849,399.5490428240007,4259370.261060814,682.2534316806123
30,630839.1274422588,4212394.997285758,399.51740611367495,4259369.626819231,682.8876732643694
31,630839.6103765605,4212394.29208044,399.4846969724907,4259369.00091691,683.5135755846277
