,UTM_X,UTM_Y,elevation,t,tt
0,631557.4280256989,4211346.098107429,295.0,4258438.7682505315,1613.7462419634685
1,631559.7849233533,4211342.656445164,293.040052,4258435.714194479,1616.800298015587
2,631562.1018851014,4211339.273099348,291.120016,4258432.71188902,1619.8026034748182
3,631564.379725962,4211335.946879849,289.23960400000004,4258429.760277963,1622.754214531742
4,631566.6192609529,4211332.676596535,287.398528,4258426.858305124,1625.6561873713508
5,631568.8213050931,4211329.461059277,285.59649999999993,4258424.004914321,1628.5095781739801
6,631570.9866734011,4211326.299077939,283.833232,4258421.199049374,1631.3154431208968
7,631573.1161808951,4211323.189462394,282.1084359999999,4258418.439654112,1634.0748383831233
8,631575.2106425941,4211320.131022507,280.4218240000001,4258415.725672361,1636.7888201335445
9,631577.2708735159,4211317.122568148,278.773108,4258413.056047957,1639.458444537595
10,631579.2976886794,4211314.162909186,277.16200000000003,4258410.429724738,1642.0847677569836
11,631581.2919031031,4211311.250855489,275.588212,4258407.845646541,1644.6688459543511
12,631583.2543318055,4211308.3852169225,274.05145600000003,4258405.302757209,1647.2117352858186
13,631585.185789805,4211305.564803359,272.55144399999995,4258402.800000591,1649.714491903782
14,631587.0870921202,4211302.788424664,271.08788799999996,4258400.336320536,1652.1781719587743
15,631588.9590537694,4211300.054890708,269.66049999999996,4258397.910660898,1654.6038315966725
16,631590.8024897714,4211297.363011356,268.26899199999997,4258395.52196553,1656.9925269652158
17,631592.6182151443,4211294.7115964815,266.91307599999993,4258393.169178294,1659.3453142009676
18,631594.4070449071,4211292.09945595,265.59246400000006,4258390.85124305,1661.6632494451478
19,631596.169794078,4211289.525399629,264.30686800000007,4258388.5671036625,1663.9473888324574
20,631597.9072776755,4211286.988237388,263.05600000000004,4258386.315703998,1666.1987884966657
21,631599.6203107178,4211284.486779097,261.839572,4258384.095987928,1668.4185045668855
22,631601.3097082241,4211282.019834621,260.65729600000003,4258381.906899322,1670.6075931731611
23,631602.9762852122,4211279.586213831,259.508884,4258379.747382058,1672.7671104371548
24,631604.620856701,4211277.184726594,258.394048,4258377.616380008,1674.898112487048
25,631606.2442377091,4211274.814182779,257.3125,4258375.512837057,1677.0016554379836
26,631607.8472432545,4211272.473392255,256.263952,4258373.435697082,1679.0787954125553
27,631609.4306883562,4211270.161164888,255.24811599999998,4258371.38390397,1681.1305885249749
28,631610.9953880324,4211267.87631055,254.264704,4258369.356401606,1683.1580908885226
29,631612.5421573017,4211265.617639106,253.31342799999996,4258367.352133877,1685.1623586183414
30,631614.0718111825,4211263.383960427,252.39399999999995,4258365.370044676,1687.1444478193298
31,631615.5851646934,4211261.174084379,251.50613199999998,4258363.409077892,1689.1054146029055
32,631617.0830328531,4211258.986820833,250.64953599999996,4258361.46817742,1691.0463150748983
33,631618.5662306796,4211256.820979655,249.82392399999998,4258359.546287158,1692.9682053374127
34,631620.0355731917,4211254.675370714,249.02900799999995,4258357.642351001,1694.8721414944157
35,631621.491875408,4211252.54880388,248.26449999999994,4258355.755312853,1696.759179642424
36,631622.9359523469,4211250.440089019,247.53011200000003,4258353.8841166105,1698.6303758844733
37,631624.3686190268,4211248.348036001,246.825556,4258352.02770618,1700.4867863152176
38,631625.7906904661,4211246.271454694,246.15054400000002,4258350.185025466,1702.3294670293108
39,631627.2029816837,4211244.209154966,245.50478799999996,4258348.355018375,1704.159474119544
40,631628.6063076976,4211242.159946687,244.888,4258346.536628816,1705.9778636787087
41,631630.0014835265,4211240.122639723,244.299892,4258344.7288007,1707.7856917949393
42,631631.3893241894,4211238.096043943,243.74017600000008,4258342.930477937,1709.5840145582333
43,631632.7706447039,4211236.078969218,243.20856400000005,4258341.140604441,1711.3738880539313
44,631634.146260089,4211234.070225413,242.70476800000006,4258339.358124128,1713.156368367374
45,631635.5169853631,4211232.068622397,242.22850000000003,4258337.581980912,1714.9325115829706
46,631636.8836355448,4211230.07297004,241.779472,4258335.811118714,1716.7033737814054
47,631638.2470256526,4211228.082078209,241.35739600000005,4258334.044481452,1718.4700110433623
48,631639.6079707046,4211226.094756774,240.96198400000003,4258332.281013046,1720.2334794485942
49,631640.9672857197,4211224.1098156,240.59294799999998,4258330.51965742,1721.994835074991
50,631642.3257857165,4211222.1260645585,240.25,4258328.759358498,1723.7551339967176
51,631643.6842857131,4211220.142313518,239.93285199999997,4258326.999060208,1725.5154322870076
52,631645.0436007284,4211218.157372345,239.641216,4258325.237706474,1727.276786020957
53,631646.4045457805,4211216.170050909,239.37480399999998,4258323.474241225,1729.0402512699366
54,631647.7679358881,4211214.179159078,239.133328,4258321.707608392,1730.8068841025233
55,631649.13458607,4211212.183506721,238.91650000000004,4258319.936751908,1732.577740587294
56,631650.505311344,4211210.181903705,238.72403199999997,4258318.160615704,1734.353876790963
57,631651.8809267292,4211208.1731599,238.555636,4258316.378143716,1736.1363487793133
58,631653.2622472438,4211206.156085174,238.411024,4258314.588279881,1737.9262126144022
59,631654.6500879063,4211204.129489395,238.28990800000003,4258312.789968136,1739.7245243592188
60,631656.0452637353,4211202.092182431,238.19200000000004,4258310.98215242,1741.5323400748894
61,631657.4485897494,4211200.042974151,238.117012,4258309.163776674,1743.3507158206776
62,631658.8608809668,4211197.980674423,238.064656,4258307.333784844,1745.1807076511905
63,631660.2829524061,4211195.9040931165,238.03464400000001,4258305.49112087,1747.0233716247603
64,631661.715619086,4211193.812040098,238.02668800000004,4258303.6347287,1748.879763795063
65,631663.1596960248,4211191.703325238,238.04049999999998,4258301.763552283,1750.7509402120486
66,631664.6159982411,4211189.576758403,238.07579200000004,4258299.876535567,1752.6379569275305
67,631666.0853407532,4211187.431149464,238.132276,4258297.972622504,1754.5418699905276
68,631667.5685385799,4211185.265308286,238.209664,4258296.050757047,1756.4637354481965
69,631669.0664067394,4211183.078044739,238.307668,4258294.109883149,1758.404609345831
70,631670.5797602504,4211180.868168691,238.42600000000002,4258292.14894477,1760.3655477249995
71,631672.1094141313,4211178.634490011,238.56437199999996,4258290.166885866,1762.3476066291332
72,631673.6561834005,4211176.375818568,238.72249599999998,4258288.1626504,1764.351842095144
73,631675.2208830767,4211174.090964229,238.90008400000002,4258286.135182332,1766.379310162738
74,631676.8043281784,4211171.778736863,239.09684800000002,4258284.08342563,1768.4310668651015
75,631678.407333724,4211169.437946338,239.3125,4258282.006324258,1770.5081682372838
76,631680.0307147319,4211167.067402524,239.54675200000003,4258279.902822188,1772.6116703068838
