,UTM_X,UTM_Y,elevation,t,tt
0,630489.6179797188,4212905.368844028,413.95062,4259822.626027408,229.8884650869295
1,630490.6051342429,4212903.927350602,407.69300266199997,4259821.346517794,231.16797470115125
2,630491.6051207846,4212902.467119208,401.478175448,4259820.050376177,232.46411631815135
3,630492.6179393438,4212900.988149847,395.306138358,4259818.737602571,233.77688992395997
4,630493.6435899205,4212899.49044252,389.17689139199996,4259817.408196992,235.10629550274462
5,630494.6820725147,4212897.973997226,383.09043455,4259816.062159451,236.45233304426074
6,630495.7333871265,4212896.438813964,377.046767832,4259814.699489961,237.81500253360718
7,630496.7975337557,4212894.884892736,371.04589123799997,4259813.320188538,239.1943039568141
8,630497.8745124025,4212893.312233539,365.08780476800007,4259811.924255194,240.590237300843
9,630498.9643230666,4212891.720836378,359.1725084220001,4259810.511689946,242.00280254893005
10,630500.0669657484,4212890.110701248,353.30000220000005,4259809.082492804,243.4319996908307
11,630501.1824404479,4212888.481828152,347.47028610200005,4259807.636663787,244.87782870791852
12,630502.3107471647,4212886.834217088,341.683360128,4259806.174202906,246.34028958901763
13,630503.451885899,4212885.167868058,335.939224278,4259804.695110178,247.81938231736422
14,630504.6058566509,4212883.482781061,330.23787855200004,4259803.199385616,249.31510687898844
15,630505.7726594202,4212881.778956096,324.57932295,4259801.687029236,250.82746325898916
16,630506.9522942072,4212880.056393164,318.963557472,4259800.158041055,252.35645143967122
17,630508.1447610115,4212878.315092266,313.390582118,4259798.612421087,253.90207140799612
18,630509.3500598335,4212876.555053401,307.860396888,4259797.050169349,255.46432314626873
19,630510.568190673,4212874.776276568,302.3730017820001,4259795.471285854,257.0432066414505
20,630511.79915353,4212872.978761769,296.92839680000003,4259793.87577062,258.63872187491506
21,630513.0429484043,4212871.162509002,291.526581942,4259792.263623662,260.2508688326925
22,630514.2995752963,4212869.3275182685,286.16755720800006,4259790.634844998,261.8796474970877
23,630515.569034206,4212867.473789568,280.85132259799997,4259788.989434644,263.5250578513369
24,630516.8513251329,4212865.6013229005,275.577878112,4259787.327392616,265.18709987867624
25,630518.1464480774,4212863.710118266,270.34722375,4259785.648718931,266.8657735642046
26,630519.4544030395,4212861.800175664,265.15935951200004,4259783.953413605,268.5610788902268
27,630520.7751900192,4212859.871495096,260.01428539799997,4259782.241476658,270.2730158371851
28,630522.1088090162,4212857.92407656,254.912001408,4259780.512908105,272.0015843901783
29,630523.4552600308,4212855.957920058,249.85250754199998,4259778.7677079635,273.74678453151137
30,630524.8145430629,4212853.973025588,244.83580379999998,4259777.005876252,275.50861624255776
31,630526.1866581126,4212851.969393152,239.86189018199997,4259775.227412988,277.2870795065537
32,630527.5716051797,4212849.947022748,234.93076668799995,4259773.43231819,279.08217430487275
33,630528.9693842644,4212847.905914377,230.04243331799995,4259771.620591876,280.89390061888844
34,630530.3799953668,4212845.84606804,225.19689007199995,4259769.792234063,282.72225843183696
35,630531.8034384864,4212843.767483735,220.39413694999996,4259767.947244773,284.5672477222979
36,630533.2397136238,4212841.670161463,215.63417395200003,4259766.08562402,286.4288684753701
37,630534.6888207785,4212839.554101226,210.917001078,4259764.207371827,288.3071206677705
38,630536.1507599507,4212837.4193030195,206.24261832800002,4259762.31248821,290.20200428459793
39,630537.6255311406,4212835.265766847,201.61102570199998,4259760.40097319,292.1135193053633
40,630539.1131343478,4212833.093492708,197.02222319999998,4259758.472826785,294.0416657095775
41,630540.6135695728,4212830.902480601,192.47621082199998,4259756.528049016,295.9864434786141
42,630542.1268368152,4212828.692730527,187.97298856800006,4259754.566639902,297.9478525929153
43,630543.652936075,4212826.464242487,183.51255643800002,4259752.588599463,299.925893031992
44,630545.1918673525,4212824.217016479,179.09491443200005,4259750.593927718,301.9205647772178
45,630546.7436306474,4212821.951052505,174.72006255000005,4259748.582624689,303.9318678062409
46,630548.3082259598,4212819.666350564,170.38800079200004,4259746.554690396,305.95980209857225
47,630549.8856532896,4212817.362910654,166.098729158,4259744.510124857,308.00436763837934
48,630551.4759126371,4212815.040732779,161.852247648,4259742.448928095,310.0655643995851
