X,Y,Z
630927,4212265,323
631161,4211924,400
631240,4211808,0
631251,4211792,370
631364,4211627,220
631077,4212299,320
631313,4211941,395
631358,4211824,0
631376,4211793,367
631501,4211589,219
631260,4212341,300
631503,4211899,332
631522,4211875,333
631591,4211777,0
631678,4211554,123
631350,4212390,287
631569,4211963,329
631580,4211946,330
631659,4211830,0
631883,4211543,120
631620,4212521,278
631863,4212166,335
631897,4212117,336
631954,4212034,10
632146,4211753,225
631936.1480333272,4212695.6294799335,292
632101.985503355,4212453.465140855,370
632226.5022180475,4212271.6394779775,310
632328.3795300687,4212122.873026533,10
632441.5765434256,4211957.576969371,125
632260.6134719651,4212856.014370361,206
632509.8986892874,4212491.995371008,310
632521.2183906231,4212475.465765292,300
632623.0957026442,4212326.699313847,10
632736.292716001,4212161.4032566855,125
632577.1068534948,4213028.04046552,201
632804.614861863,4212695.821658322,300
632815.9345631987,4212679.292052605,290
632917.8118752198,4212530.525601161,10
633031.0088885766,4212365.229543999,155
632875.1512386068,4213227.006726997,205
633099.3310344385,4212899.647945636,280
633110.6507357742,4212883.11833992,270
633212.5280477953,4212734.351888475,10
633325.7250611521,4212569.055831313,130
