SAMPLE_1,X,Y
400,"631579","4212807"
372.23046875,"631704","4212792"
351.113372802734,"631895","4212700"
422.922393798828,"631576","4212850"
379.121276855469,"631738","4212837"
348.426879882812,"631973","4212732"
429.961486816406,"631659","4212927"
374.167938232422,"631818","4212889"
345.379669189453,"632040","4212765"
390.561676025391,"631983","4213106"
342.396514892578,"632085","4212912"
338.908569335938,"632107","4212800"
378.434753417969,"632010","4213099"
340,"632053","4212982"
322,"632165","4212835"
