SAMPLE_1,X,Y
421.351837158203,"631968","4213581"
422.961517333984,"631987","4213562"
431.213562011719,"631995","4213495"
401.688385009766,"632026","4213651"
407.103179931641,"632051","4213622"
428.725708007812,"632129","4213541"
369.455688476562,"632133","4213727"
368.742858886719,"632157","4213705"
420.075225830078,"632225","4213562"
353.97900390625,"632180","4213771"
353.97900390625,"632198","4213756"
372.865142822266,"632381","4213581"
346.326385498047,"632338","4213863"
346.326385498047,"632354","4213839"
346.326385498047,"632476","4213629"
346.326385498047,"632424","4213924"
346.326385498047,"632435","4213902"
354.564697265625,"632568","4213707"
