Z,X,Y
445.796356201172,"630696","4212600"
441.786834716797,"630709","4212575"
420.643371582031,"630763","4212500"
451.364685058594,"630838","4212726"
443.551330566406,"630858","4212706"
420,"630914","4212626"
441.057830810547,"630961","4212848"
439.245086669922,"630978","4212828"
438.513427734375,"631028","4212753"
447.874938964844,"631044","4212911"
447.874938964844,"631050","4212900"
465.989990234375,"631132","4212785"
450.672119140625,"631071","4212932"
453.122985839844,"631078","4212923"
470.369232177734,"631150","4212832"
460.769348144531,"631143","4212980"
460.769348144531,"631149","4212972"
471.224182128906,"631195","4212892"
474.484649658203,"631234","4213041"
472.177886962891,"631246","4213029"
472.693237304688,"631291","4212955"
456.299713134766,"631399","4213154"
456.299713134766,"631408","4213141"
458.797393798828,"631472","4213051"
443.073150634766,"631553","4213261"
444.807769775391,"631564","4213246"
458.693389892578,"631634","4213189"
