Z,X,Y
411,"630961","4212848"
400,"630978","4212828"
438.513427734375,"631028","4212753"
417,"631044","4212911"
400,"631050","4212900"
465.989990234375,"631132","4212785"
420,"631071","4212932"
453,"631078","4212923"
470.369232177734,"631150","4212832"
430,"631143","4212980"
420,"631149","4212972"
471.224182128906,"631195","4212892"
444,"631234","4213041"
430,"631246","4213029"
472.693237304688,"631291","4212955"
426,"631399","4213154"
420,"631408","4213141"
458.797393798828,"631472","4213051"
413,"631554","4213260"
400,"631564","4213246"
458.693389892578,"631612","4213169"
