Z,X,Y
411,"630978","4212828"
400,"630988","4212808"
438.513427734375,"631028","4212753"
417,"631060","4212880"
400,"631070","4212860"
465.989990234375,"631152","4212745"
420,"631088","4212903"
453,"631098","4212883"
470.369232177734,"631140","4212852"
430,"631159","4212952"
420,"631169","4212932"
471.224182128906,"631195","4212892"
444,"631246","4213029"
430,"631256","4213009"
472.693237304688,"631291","4212955"
426,"631408","4213141"
420,"631418","4213121"
458.797393798828,"631472","4213051"
413,"631564","4213246"
400,"631574","4213226"
458.693389892578,"631612","4213169"
