Z,X,Y
432.221130371094,"631822","4213506"
400,"631831","4213494"
420,"631897","4213404"
426.227233886719,"631859","4213532"
390,"631867","4213522"
400,"631925","4213423"
421.351837158203,"631968","4213581"
390,"631987","4213562"
410,"631995","4213495"
401.688385009766,"632026","4213651"
380,"632051","4213622"
408,"632129","4213541"
369.455688476562,"632133","4213727"
340,"632157","4213705"
400,"632225","4213562"
353.97900390625,"632180","4213771"
310,"632198","4213756"
340,"632381","4213581"
346.326385498047,"632338","4213863"
310,"632354","4213839"
300,"632476","4213629"
346.326385498047,"632453","4213942"
280,"632464","4213912"
300,"632528","4213806"
