,X,Y,Z
0,630312.260878774,4213164.354736202,350
1,630470.7366974736,4212932.9402561765,300
2,630459.4169961378,4212949.469861893,350
0,630606.9770513496,4213368.181023517,340
1,630742.8134673778,4213169.825754924,290
2,630708.8543633707,4213219.414572071,360
0,630901.6932239251,4213572.00731083,340
1,631037.5296399533,4213373.652042237,310
2,631048.8493412889,4213357.122436521,380
0,631196.4093965006,4213775.833598144,350
1,631298.2867085217,4213627.067146699,320
2,631320.926111193,4213594.007935267,390
,"631295","4213829",360
,"631386","4213700",330
,"631420","4213666",411
