Z,X,Y
392.222106933594,631569,4213712
382.838714599609,631597,4213674
382.838714599609,631611,4213654
381.455200195312,631626,4213730
375.964630126953,631651,4213702
373.364898681641,631677,4213692
379.929290771484,631685,4213771
368.846618652344,631705,4213743
368.846618652344,631732,4213725
383.553009033203,631725,4213829
370.799377441406,631769,4213781
365.439392089844,631794,4213760
371.123199462891,631883,4213979
364.461883544922,631926,4213926
357.122863769531,631944,4213903
376.375396728516,631988,4214021
360.754852294922,632028,4213977
357.113891601562,632065,4213962
377.059539794922,632062,4214064
369.882537841797,632108,4214033
346.326385498047,632153,4214003
369.632141113281,632107,4214141
367.220062255859,632148,4214065
346.326385498047,632197,4214033
366.923919677734,632149,4214141
355.469055175781,632189,4214077
346.326385498047,632228,4214047
359.076385498047,632199,4214116
346.326385498047,632240,4214084
346.326385498047,632280,4214079
346.326385498047,632291,4214144
346.326385498047,632314,4214116
346.326385498047,632336,4214079
