Z,X,Y

379.929290771484,631650,4213757
338,631669,4213723
370,631687,4213700
383.553009033203,631725,4213829
340,631769,4213781
370,631794,4213760
371.123199462891,631883,4213979
330,631926,4213926
360,631944,4213903
376.375396728516,631988,4214021
330,632028,4213977
350,632065,4213962
377.059539794922,632062,4214064
339,632108,4214033
340,632153,4214003
369.632141113281,632107,4214141
337,632148,4214065
340,632197,4214033
340,632198,4214113
320,632189,4214077
340,632228,4214047
340,632257,4214133
300,632274,4214110
350,632290,4214069
