X,Y
631885.3516015023,4214038.176795687
631902.0052212481,4214013.858330033
631922.8651540192,4213983.397591384
631968.2849842471,4213917.073236783
632072.7774501701,4213764.488004117
632111.4847757408,4213707.965591464
632213.1365210154,4213559.528524096
632354.1948501584,4213353.547951415
632559.9499440171,4213053.093860383
632845.2927397264,4212636.421744471
632924.1787522195,4212521.228362213
632958.3470819169,4212471.334023031
632991.4589454053,4212422.982389737
633014.2566588263,4212389.692004867
633053.1018070404,4212332.968336553
633080.635699498,4212292.761941291
