X,Y
631028.8840756792,4213386.276736567
631292.0699259476,4213636.145209711
631574.8535875062,4213857.395959114
631885.3516015023,4214038.176795687
632174.0094904051,4214250.849698118
631060.9423659914,4213339.463584604
631368.5578104652,4213524.453696336
631684.203458809,4213697.717695161
631964.8640992197,4213922.068587722
632291.8410707652,4214078.786009642
630697.1893661171,4212602.262509875
630962.9558915208,4212848.362549801
631254.4737832779,4213056.859130072
631550.2153902903,4213259.18802538
631815.4775277186,4213506.02459872
632111.4847757408,4213707.965591464
632405.1429102432,4213913.336880029
631157.629143555,4212564.090729885
631313.9957429993,4212969.942126129
631610.8611336675,4213170.630015175
631890.1519672831,4213396.981170234
632213.1365210154,4213559.528524096
632554.1837821275,4213695.699790958
631211.879920984,4212484.870975397
631514.5856957681,4212677.030437776
631742.5398774089,4212978.345991888
632082.3825969686,4213116.2761921575
632354.1948501584,4213353.547951415
632649.4957789583,4213556.520347888
631702.5126521835,4211768.424016448
632002.3499621318,4211964.772157604
632326.8939061764,4212125.04241013
632619.9990618431,4212331.221186964
632958.3470819169,4212471.334023031
633260.6105860044,4212664.139311657
632071.8921512861,4211863.223103149
632364.0205069857,4212070.828252464
632702.6030297639,4212210.598656402
632991.4589454053,4212422.982389737
633308.1132228826,4212594.773536468
631827.179358747,4211629.34445392
632224.1983481966,4211640.817819795
632544.9612132383,4211806.609396889
632511.1733344836,4211855.948182184
632767.4317499759,4212115.932449901
633080.635699498,4212292.761941291
633387.3776215035,4212479.027615468
