X,Y
631605.2185060058,4213813.055555111
631902.0052212481,4214013.858330033
632195.3999083879,4214219.614317883
631639.2797504371,4213763.317587302
631922.8651540192,4213983.397591384
632254.8225358395,4214132.84236399
630671.1458796381,4212640.292538248
630919.069312684,4212912.447972454
631196.9015743454,4213140.929008389
631483.0889003618,4213357.2095525125
631776.6896844124,4213562.664587481
632072.7774501701,4213764.488004117
632371.3476195888,4213962.686488557
631942.3805782152,4213320.714286488
632017.2630798629,4213211.367035127
631481.1481954041,4211457.485809368
631657.5227561338,4211834.1205592165
631963.3707173388,4212021.691640587
632277.9640571626,4212196.492273336
632594.3126391615,4212368.729812554
632924.1787522195,4212521.228362213
633229.8830039649,4212709.009295472
633014.2566588263,4212389.692004867
633326.7481886497,4212567.561808213
633053.1018070404,4212332.968336553
633359.4837131378,4212519.759724337
632105.8760668465,4211813.598054904
632224.1983481966,4211640.817819795
